transaction_id,timestamp,merchant_id,customer_id,device_id,payment_instrument_id,amount,amount_log,hour_of_day,day_of_week,is_weekend,is_night,merchant_category_idx,pi_type_idx,cust_age_days,cust_txn_count_prev,cust_amount_sum_prev,cust_amount_mean_prev,cust_amount_std_prev,cust_amount_max_prev,cust_days_since_last_txn,cust_amount_to_mean_ratio,cust_amount_zscore,cust_is_first_txn,cust_decline_rate_prev,velocity_txn_count_1h,velocity_amount_sum_1h,velocity_txn_count_24h,velocity_amount_sum_24h,velocity_txn_count_7d,velocity_amount_sum_7d,merchant_age_days,merchant_txn_count_prev,merchant_amount_mean_prev,merchant_amount_std_prev,merchant_decline_rate_prev,merchant_velocity_txn_count_1h,merchant_velocity_txn_count_24h,merchant_velocity_txn_count_7d,amount_to_merchant_mean_ratio,device_txn_count_prev,device_distinct_cust_prev,device_distinct_merchants_prev,device_velocity_count_24h,device_velocity_count_7d,device_is_new_for_cust,device_age_days,pi_txn_count_prev,pi_distinct_cust_prev,pi_distinct_merchants_prev,pi_velocity_count_1h,pi_velocity_count_24h,pi_age_days,is_fraud,is_fraud_ground_truth,fraud_archetype,fraud_case_id
1,2025-01-01 13:29:23,403,15524,20278,20883,5648.15,8.6393,13,2,0,0,7,0,0.06,0,0.0,884.21,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1884.93,0.0,0.0,0,0,0,2.9965,0,0,0,0,0,1,0.56,0,0,0,0,0,0.0,False,False,none,
2,2025-01-01 16:18:10,706,20156,26344,27093,1250.42,7.132,16,2,0,0,1,2,0.29,0,0.0,660.46,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,3112.19,0.0,0.0,0,0,0,0.4018,0,0,0,0,0,1,0.68,0,0,0,0,0,0.0,False,False,none,
3,2025-01-02 01:05:54,635,36311,47463,48866,4167.14,8.3352,1,3,0,1,2,2,0.01,0,0.0,1724.03,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,8187.36,0.0,0.0,0,0,0,0.509,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,False,False,none,
4,2025-01-02 02:52:37,1047,6729,8802,9060,1867.92,7.5331,2,3,0,1,4,1,0.06,0,0.0,2361.75,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1622.64,0.0,0.0,0,0,0,1.1512,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,False,False,none,
5,2025-01-02 08:06:27,692,21464,28049,28858,2858.06,7.9582,8,3,0,0,8,1,0.52,0,0.0,2923.08,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,5270.68,0.0,0.0,0,0,0,0.5423,0,0,0,0,0,1,1.15,0,0,0,0,0,0.28,False,False,none,
6,2025-01-02 11:34:26,1491,421,537,565,3045.68,8.0218,11,3,0,0,2,2,0.14,0,0.0,719.51,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,6925.56,0.0,0.0,0,0,0,0.4398,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,False,False,none,
7,2025-01-02 13:48:06,702,12658,16510,17030,1931.58,7.5666,13,3,0,0,6,1,1.49,0,0.0,1675.91,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1.02,0,786.27,0.0,0.0,0,0,0,2.4566,0,0,0,0,0,1,1.44,0,0,0,0,0,1.23,False,False,none,
8,2025-01-02 14:36:46,1257,28078,36695,37794,1619.55,7.3905,14,3,0,0,7,1,0.03,0,0.0,2572.26,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1654.36,0.0,0.0,0,0,0,0.979,0,0,0,0,0,1,0.0,0,0,0,0,0,0.0,False,False,none,
9,2025-01-02 14:52:46,1153,28078,36695,37794,2261.01,7.724,14,3,0,0,4,1,0.04,1,1619.55,1619.55,0.0,1619.55,0.011111,1.3961,0.0,0,0.0,1,1619.55,1,1619.55,1,1619.55,0.0,0,2273.64,0.0,0.0,0,0,0,0.9944,1,1,1,1,1,0,0.01,1,1,1,1,1,0.01,False,False,none,
10,2025-01-02 19:53:17,1392,13066,17035,17583,1454.13,7.2829,19,3,0,0,8,3,0.45,0,0.0,1515.93,0.0,0.0,-1.0,1.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,0,5220.65,0.0,0.0,0,0,0,0.2785,0,0,0,0,0,1,1.3,0,0,0,0,0,0.39,False,False,none,
