id,segment,account_created_at,typical_amount,txn_per_month
1,regular,2025-03-17 00:11:27,1566.82,1.69
2,high_frequency,2025-03-18 05:38:32,828.04,9.69
3,low_frequency,2025-02-09 18:04:15,1456.01,1.05
4,regular,2025-01-08 15:07:14,1954.77,1.67
5,low_frequency,2025-02-21 23:18:28,1807.92,0.57
6,high_value,2025-03-30 15:16:41,6988.51,6.29
7,regular,2025-01-09 01:08:54,1245.5,3.58
8,low_frequency,2025-01-23 14:18:54,2103.54,0.93
9,high_frequency,2025-02-18 18:54:25,954.05,11.3
10,regular,2025-02-08 22:36:22,895.67,3.71
11,regular,2025-01-16 12:36:38,6388.09,5.75
12,low_frequency,2025-01-20 16:22:41,1542.85,1.48
13,low_frequency,2025-02-16 01:24:22,4271.69,1.34
14,regular,2025-02-20 22:39:23,2016.42,4.96
15,regular,2025-04-01 16:38:49,1842.97,6.48
16,high_frequency,2025-04-17 16:44:02,1057.51,12.67
17,low_frequency,2025-03-22 07:11:11,390.28,0.98
18,regular,2025-02-23 12:00:48,1385.99,1.67
19,low_frequency,2025-03-07 22:41:58,758.9,0.95
20,regular,2025-02-26 13:26:27,1420.2,3.35
21,low_frequency,2025-01-12 20:40:54,1209.95,2.36
22,low_frequency,2025-02-07 00:27:27,1010.68,1.08
23,low_frequency,2025-04-19 06:01:46,842.04,0.57
24,regular,2025-04-09 18:20:40,2488.91,5.69
25,low_frequency,2025-02-26 21:49:40,1815.71,0.6
26,high_frequency,2025-04-12 11:01:55,1901.02,16.01
27,low_frequency,2025-02-10 10:55:03,746.04,0.91
28,regular,2025-01-23 06:02:23,2560.11,2.36
29,regular,2025-03-24 08:55:31,671.1,4.25
30,low_frequency,2025-02-04 18:29:30,1231.36,0.67
31,low_frequency,2025-03-21 21:35:41,1569.85,1.64
32,low_frequency,2025-02-11 20:46:46,923.14,0.6
33,regular,2025-05-27 12:37:34,772.08,2.91
34,high_value,2025-04-18 14:04:08,1572.13,3.6
35,low_frequency,2025-03-06 19:46:03,1651.71,1.66
36,regular,2025-01-19 05:15:43,1214.94,4.16
37,regular,2025-04-19 23:20:38,8424.03,2.97
38,regular,2025-03-31 12:25:29,855.0,6.7
39,regular,2025-01-28 00:48:00,1093.42,2.72
40,high_value,2025-01-09 23:15:00,1919.73,2.46
41,regular,2025-03-31 19:59:17,599.99,2.4
42,high_frequency,2025-03-19 14:06:56,1916.41,10.85
43,low_frequency,2025-02-17 19:53:23,1034.42,0.54
44,high_frequency,2025-01-23 21:19:28,737.29,9.31
45,high_value,2025-01-04 04:44:10,3141.4,4.45
46,high_value,2025-02-26 14:46:25,4064.21,3.31
47,low_frequency,2025-01-26 14:18:24,1356.15,1.52
48,high_frequency,2025-02-18 12:55:14,2559.15,11.6
49,low_frequency,2025-01-13 08:33:52,436.66,1.2
50,regular,2025-05-06 09:00:18,2600.1,4.03
51,low_frequency,2025-02-01 15:17:25,2138.87,0.57
52,regular,2025-01-13 09:01:12,496.87,6.78
53,regular,2025-02-26 13:32:03,3310.01,5.87
54,low_frequency,2025-01-27 21:22:57,2086.18,1.11
55,low_frequency,2025-05-12 18:36:43,2543.84,0.8
56,low_frequency,2025-03-02 09:35:38,1521.95,0.86
57,regular,2025-04-28 19:36:09,2592.21,2.68
58,high_frequency,2025-02-12 06:24:40,1891.58,8.01
59,regular,2025-02-18 01:55:25,1078.62,2.49
60,high_frequency,2025-01-31 01:20:47,2190.2,9.29
61,high_frequency,2025-05-14 18:45:29,1919.6,16.69
62,low_frequency,2025-02-21 14:14:50,934.94,1.21
63,regular,2025-01-16 22:44:18,6791.17,1.56
64,regular,2025-03-05 15:48:04,972.79,1.71
65,low_frequency,2025-02-22 20:14:07,1075.25,1.96
66,regular,2025-01-10 19:45:20,472.17,3.34
67,regular,2025-04-07 12:05:38,3513.9,2.93
68,regular,2025-01-29 23:13:59,2452.61,4.59
69,regular,2025-03-15 01:58:36,2441.36,3.37
70,low_frequency,2025-02-23 05:40:14,1828.66,0.41
71,high_frequency,2025-01-22 23:10:01,1143.86,12.55
72,low_frequency,2025-03-07 07:14:04,1348.49,1.13
73,high_frequency,2025-04-28 00:19:55,1130.09,14.04
74,low_frequency,2025-04-12 06:19:16,1418.93,0.2
75,regular,2025-03-18 20:04:40,1655.59,5.42
76,regular,2025-01-21 19:54:54,551.71,2.81
77,low_frequency,2025-03-19 14:26:42,2325.89,2.17
78,low_frequency,2025-04-23 16:10:47,598.21,1.82
79,low_frequency,2025-01-30 03:48:57,998.18,1.43
80,regular,2025-01-30 11:06:08,1359.16,3.51
81,high_value,2025-04-03 15:24:50,8828.44,2.75
