id,name,category,created_at,typical_order_value,typical_order_value_std,expected_daily_transactions,tier
1,HealthFirst_0001,health,2025-03-17 10:37:33,2086.27,729.89,15,medium
2,FoodDash_0001,food_delivery,2025-02-23 03:36:40,480.54,133.15,56,large
3,InteriorCo_0001,home,2025-02-15 00:32:19,5434.19,2891.94,1,small
4,DataFlow_0001,digital_services,2025-01-22 13:34:56,481.26,321.84,8,small
5,TrendSet_0001,fashion,2025-02-02 01:44:20,1641.28,1652.53,19,medium
6,PlayBox_0001,entertainment,2025-02-13 06:23:38,749.69,470.49,22,medium
7,WellnessHub_0002,health,2025-01-29 04:51:03,1461.11,1064.54,7,medium
8,PharmEasy_0003,health,2025-01-06 04:52:03,1778.84,766.29,2,small
9,FashionVault_0002,fashion,2025-01-14 00:22:11,2792.46,1214.21,4,small
10,MealBox_0002,food_delivery,2025-02-10 23:35:55,329.32,176.12,56,medium
11,QuickEats_0003,food_delivery,2025-01-21 06:32:56,461.65,113.84,15,small
12,JoyRide_0002,entertainment,2025-01-15 15:02:08,854.98,628.38,4,small
13,StreamLine_0002,digital_services,2025-01-23 01:12:30,298.21,240.19,20,medium
14,VitalCare_0004,health,2025-01-03 23:05:33,2021.01,456.65,10,medium
15,TastyTrail_0004,food_delivery,2025-02-01 22:41:17,535.55,200.29,190,large
16,DailyNeeds_0001,grocery,2025-01-25 18:36:53,477.61,237.86,17,small
17,EduVerse_0001,education,2025-01-05 08:45:01,3575.91,2551.64,1,small
18,GadgetHub_0001,electronics,2025-01-13 15:33:52,8620.94,3083.25,32,large
19,CureQuick_0005,health,2025-01-05 23:02:36,2618.35,1096.79,2,small
20,AppForge_0003,digital_services,2025-01-31 16:23:00,271.97,198.93,13,small
21,LifePulse_0006,health,2025-01-16 17:19:46,1491.24,925.83,4,small
22,SpiceRoute_0005,food_delivery,2025-01-09 17:58:13,538.94,192.02,43,medium
23,GameVerse_0003,entertainment,2025-02-24 09:34:46,810.74,437.24,49,large
24,DecorVault_0002,home,2025-02-07 18:45:56,4870.69,3111.17,16,medium
25,DocConnect_0007,health,2025-01-22 00:55:14,1931.65,1230.23,8,medium
26,LookBook_0003,fashion,2025-01-23 21:24:35,2389.06,1026.48,5,small
27,ChefDoor_0006,food_delivery,2025-01-21 20:59:02,491.31,201.99,25,small
28,ElectroMart_0002,electronics,2025-01-25 09:44:43,10213.58,4941.8,2,small
29,WearHouse_0004,fashion,2025-01-14 01:19:56,2834.81,855.13,6,small
30,NetPulse_0004,digital_services,2025-02-25 14:15:28,410.79,266.14,10,small
31,SaaSPoint_0005,digital_services,2025-02-02 20:28:11,610.99,230.79,7,small
32,ShowTime_0004,entertainment,2025-01-18 02:13:48,814.63,481.36,7,small
33,GreenBasket_0002,grocery,2025-01-24 06:19:18,1010.77,379.35,31,medium
34,HungryOwl_0007,food_delivery,2025-01-19 09:00:50,372.21,186.99,35,medium
35,DineExpress_0008,food_delivery,2025-01-10 07:37:59,478.05,218.08,12,small
36,ThreadBarn_0005,fashion,2025-02-14 13:04:27,2914.58,1023.49,4,small
37,UrbanStitch_0006,fashion,2025-01-02 17:40:04,2430.1,1414.09,20,medium
38,CraveTown_0009,food_delivery,2025-01-10 16:23:46,475.71,242.04,40,medium
39,QuickGrocery_0003,grocery,2025-02-14 16:24:20,746.4,413.33,58,medium
40,CodeBridge_0006,digital_services,2025-02-15 04:56:43,349.84,245.57,11,small
41,BiteBuddy_0010,food_delivery,2025-01-20 00:32:09,290.92,219.68,65,medium
42,FurniWorld_0003,home,2025-01-10 15:50:49,3981.26,2741.89,2,small
43,DigitalNex_0007,digital_services,2025-01-10 03:56:13,453.06,270.45,7,small
44,PantryPlus_0004,grocery,2025-01-22 06:46:45,572.54,331.03,10,small
45,HouseJoy_0004,home,2025-01-07 07:04:52,6186.72,2763.49,3,small
46,FitPath_0008,health,2025-01-27 15:32:37,1626.94,882.08,1,small
47,FoodDash_0011,food_delivery,2025-02-02 19:41:28,355.72,151.72,15,small
48,NatureFresh_0005,grocery,2025-01-21 00:49:22,763.0,224.93,33,medium
49,PlatformX_0008,digital_services,2025-01-27 10:14:56,376.98,284.14,11,small
50,ModaFit_0007,fashion,2025-02-05 01:27:08,2039.12,1188.6,6,small
51,ClosetBox_0008,fashion,2025-01-22 22:22:05,2364.84,1017.58,4,small
52,DigitalWorld_0003,electronics,2025-01-22 04:39:53,7506.94,4336.39,2,small
