id,merchant_id,customer_id,device_id,payment_instrument_id,amount,currency,timestamp,status,is_fraud,fraud_archetype,fraud_case_id,is_fraud_ground_truth
1,403,15524,20278,20883,5648.15,INR,2025-01-01 13:29:23,captured,False,none,,False
2,706,20156,26344,27093,1250.42,INR,2025-01-01 16:18:10,captured,False,none,,False
3,635,36311,47463,48866,4167.14,INR,2025-01-02 01:05:54,captured,False,none,,False
4,1047,6729,8802,9060,1867.92,INR,2025-01-02 02:52:37,captured,False,none,,False
5,692,21464,28049,28858,2858.06,INR,2025-01-02 08:06:27,captured,False,none,,False
6,1491,421,537,565,3045.68,INR,2025-01-02 11:34:26,captured,False,none,,False
7,702,12658,16510,17030,1931.58,INR,2025-01-02 13:48:06,captured,False,none,,False
8,1257,28078,36695,37794,1619.55,INR,2025-01-02 14:36:46,captured,False,none,,False
9,1153,28078,36695,37794,2261.01,INR,2025-01-02 14:52:46,captured,False,none,,False
10,1392,13066,17035,17583,1454.13,INR,2025-01-02 19:53:17,captured,False,none,,False
11,1,1845,2390,2496,2219.52,INR,2025-01-02 21:19:10,captured,False,none,,False
12,183,20485,26762,27531,10017.8,INR,2025-01-02 22:04:08,captured,False,none,,False
13,826,36842,48163,49573,3762.63,INR,2025-01-02 23:53:02,captured,False,none,,False
14,18,34913,45637,47001,5170.7,INR,2025-01-03 09:08:51,captured,False,none,,False
15,1270,31644,41336,42573,6939.69,INR,2025-01-03 11:29:33,captured,False,none,,False
16,1402,17589,23004,23654,3681.39,INR,2025-01-03 12:16:35,captured,False,none,,False
17,468,10076,13175,13584,627.19,INR,2025-01-03 13:04:11,failed,False,none,,False
18,18,25238,32961,33956,3352.94,INR,2025-01-03 15:15:45,captured,False,none,,False
19,961,2625,3423,3559,2030.35,INR,2025-01-03 15:54:49,captured,False,none,,False
20,852,33971,44385,45740,1201.26,INR,2025-01-03 16:33:03,captured,False,none,,False
21,949,4547,5988,6130,1553.7,INR,2025-01-03 17:39:31,captured,False,none,,False
22,79,19857,25942,26691,2156.71,INR,2025-01-03 17:43:22,captured,False,none,,False
