transaction_id,timestamp,amount,customer_id,merchant_id,device_id,payment_instrument_id
TXN-USR-001,2025-07-01 09:15:00,450.00,CUST_ANANYA_01,MERCH_GROCERY_01,DEV_PHONE_01,PI_CARD_01
TXN-USR-002,2025-07-01 09:30:00,1200.00,CUST_ROHIT_02,MERCH_ELECTRONICS_01,DEV_LAPTOP_02,PI_UPI_02
TXN-USR-003,2025-07-01 10:05:00,320.00,CUST_PRIYA_03,MERCH_COFFEE_02,DEV_PHONE_03,PI_CARD_03
TXN-USR-004,2025-07-01 10:45:00,850.00,CUST_VIKRAM_04,MERCH_RETAIL_04,DEV_PHONE_04,PI_CARD_04
TXN-USR-005,2025-07-01 11:20:00,2100.00,CUST_NEHA_05,MERCH_APPAREL_03,DEV_PHONE_05,PI_NETBANK_05
TXN-USR-006,2025-07-01 11:55:00,420.00,CUST_ANANYA_01,MERCH_GROCERY_01,DEV_PHONE_01,PI_CARD_01
TXN-USR-007,2025-07-01 12:10:00,650.00,CUST_ROHIT_02,MERCH_FOOD_05,DEV_LAPTOP_02,PI_UPI_02
TXN-USR-008,2025-07-01 13:00:00,180.00,CUST_SURESH_06,MERCH_METRO_01,DEV_PHONE_06,PI_CARD_06
TXN-USR-009,2025-07-01 13:45:00,950.00,CUST_DEEPA_07,MERCH_RETAIL_04,DEV_PHONE_07,PI_UPI_07
TXN-USR-010,2025-07-01 14:15:00,530.00,CUST_PRIYA_03,MERCH_GROCERY_01,DEV_PHONE_03,PI_CARD_03
TXN-USR-011,2025-07-01 14:45:00,1400.00,CUST_ARJUN_08,MERCH_ELECTRONICS_01,DEV_LAPTOP_08,PI_CARD_08
TXN-USR-012,2025-07-01 15:20:00,310.00,CUST_VIKRAM_04,MERCH_COFFEE_02,DEV_PHONE_04,PI_CARD_04
TXN-USR-013,2025-07-01 15:55:00,780.00,CUST_NEHA_05,MERCH_BOOKSTORE_01,DEV_PHONE_05,PI_NETBANK_05
TXN-USR-014,2025-07-01 16:30:00,240.00,CUST_SURESH_06,MERCH_PHARMACY_01,DEV_PHONE_06,PI_CARD_06
TXN-USR-015,2025-07-01 17:05:00,1150.00,CUST_DEEPA_07,MERCH_APPAREL_03,DEV_PHONE_07,PI_UPI_07
TXN-USR-016,2025-07-01 17:40:00,490.00,CUST_ANANYA_01,MERCH_GROCERY_01,DEV_PHONE_01,PI_CARD_01
TXN-USR-017,2025-07-01 18:15:00,890.00,CUST_ROHIT_02,MERCH_FOOD_05,DEV_LAPTOP_02,PI_UPI_02
TXN-USR-018,2025-07-01 18:50:00,620.00,CUST_PRIYA_03,MERCH_RETAIL_04,DEV_PHONE_03,PI_CARD_03
TXN-USR-019,2025-07-01 19:25:00,1350.00,CUST_ARJUN_08,MERCH_ELECTRONICS_01,DEV_LAPTOP_08,PI_CARD_08
TXN-USR-020,2025-07-01 20:00:00,340.00,CUST_VIKRAM_04,MERCH_COFFEE_02,DEV_PHONE_04,PI_CARD_04
TXN-USR-021,2025-07-02 02:00:00,85.00,CUST_BOT_USER_01,MERCH_GAMING_01,DEV_BOT_BOX_01,PI_STOLEN_TEST_99
TXN-USR-022,2025-07-02 02:00:30,85.00,CUST_BOT_USER_02,MERCH_GAMING_02,DEV_BOT_BOX_01,PI_STOLEN_TEST_99
TXN-USR-023,2025-07-02 02:01:00,85.00,CUST_BOT_USER_03,MERCH_GAMING_01,DEV_BOT_BOX_01,PI_STOLEN_TEST_99
TXN-USR-024,2025-07-02 02:01:30,85.00,CUST_BOT_USER_04,MERCH_GAMING_03,DEV_BOT_BOX_01,PI_STOLEN_TEST_99
TXN-USR-025,2025-07-02 02:02:00,85.00,CUST_BOT_USER_05,MERCH_GAMING_02,DEV_BOT_BOX_01,PI_STOLEN_TEST_99
TXN-USR-026,2025-07-02 02:30:00,28500.00,CUST_ANANYA_01,MERCH_LUXURY_JEWELS,DEV_ATTACKER_ATO_99,PI_CARD_01
TXN-USR-027,2025-07-02 02:35:00,24000.00,CUST_ROHIT_02,MERCH_LUXURY_JEWELS,DEV_ATTACKER_ATO_99,PI_UPI_02
TXN-USR-028,2025-07-02 03:00:00,3200.00,CUST_MULE_ACCOUNT_01,MERCH_DIGITAL_VOUCHERS,DEV_SYNDICATE_HARDWARE,PI_RING_CARD_77
TXN-USR-029,2025-07-02 03:04:00,3200.00,CUST_MULE_ACCOUNT_02,MERCH_DIGITAL_VOUCHERS,DEV_SYNDICATE_HARDWARE,PI_RING_CARD_77
TXN-USR-030,2025-07-02 03:08:00,3200.00,CUST_MULE_ACCOUNT_03,MERCH_DIGITAL_VOUCHERS,DEV_SYNDICATE_HARDWARE,PI_RING_CARD_77
TXN-USR-031,2025-07-02 03:12:00,3200.00,CUST_MULE_ACCOUNT_04,MERCH_DIGITAL_VOUCHERS,DEV_SYNDICATE_HARDWARE,PI_RING_CARD_77
TXN-USR-032,2025-07-02 03:16:00,3200.00,CUST_MULE_ACCOUNT_05,MERCH_DIGITAL_VOUCHERS,DEV_SYNDICATE_HARDWARE,PI_RING_CARD_77
TXN-USR-033,2025-07-02 09:10:00,520.00,CUST_PRIYA_03,MERCH_GROCERY_01,DEV_PHONE_03,PI_CARD_03
TXN-USR-034,2025-07-02 10:00:00,410.00,CUST_VIKRAM_04,MERCH_COFFEE_02,DEV_PHONE_04,PI_CARD_04
TXN-USR-035,2025-07-02 11:30:00,980.00,CUST_NEHA_05,MERCH_APPAREL_03,DEV_PHONE_05,PI_NETBANK_05
