ring_id,start_time,end_time,total_transactions,flagged_transactions,max_ring_score,mean_ring_score,is_detected,customers_count,devices_count,pis_count,merchants_count
RING_014,2025-02-10 09:00:47,2025-02-12 07:52:07,15,12,1.0,0.7864,True,5,1,1,4
RING_009,2025-02-19 14:09:36,2025-02-21 11:06:44,24,22,1.0,0.891,True,8,1,1,3
RING_015,2025-02-20 20:11:41,2025-02-22 12:21:47,15,12,1.0,0.7884,True,5,1,1,4
RING_012,2025-03-07 23:55:07,2025-03-09 18:00:18,9,7,0.8233,0.6079,True,3,1,1,2
RING_002,2025-03-08 02:34:23,2025-03-10 01:44:36,24,22,1.0,0.891,True,8,1,1,4
RING_004,2025-03-19 21:45:28,2025-03-21 12:26:35,9,5,0.8233,0.4741,True,3,1,1,2
RING_005,2025-03-28 02:00:44,2025-03-29 21:43:42,9,3,0.8233,0.3402,True,3,1,1,2
RING_010,2025-03-31 23:19:27,2025-04-02 22:04:38,15,13,1.0,0.8021,True,5,1,1,3
RING_008,2025-04-04 12:43:53,2025-04-05 11:49:32,9,7,0.8233,0.6079,True,3,1,1,4
RING_007,2025-04-12 02:26:32,2025-04-14 01:53:24,15,13,1.0,0.8139,True,5,1,1,3
RING_001,2025-04-12 06:41:11,2025-04-14 05:08:04,15,12,1.0,0.7727,True,5,1,1,4
RING_013,2025-04-15 05:17:31,2025-04-16 23:30:07,9,6,0.8233,0.5165,True,3,1,1,3
RING_003,2025-04-24 18:32:46,2025-04-26 13:33:28,9,6,0.8233,0.5655,True,3,1,1,3
RING_006,2025-05-19 11:28:35,2025-05-21 00:11:46,24,21,1.0,0.8653,True,8,1,1,3
RING_011,2025-05-22 19:22:14,2025-05-24 09:19:03,9,4,0.8233,0.4317,True,3,1,1,1
